year,iso_code,country,debt_type,prices,units,value
2018,AGO,Angola,Bilateral,current,USD million,2238.1206408999997
2018,ALB,Albania,Bilateral,current,USD million,35.652022
2018,ARG,Argentina,Bilateral,current,USD million,417.8324679
2018,ARM,Armenia,Bilateral,current,USD million,177.4153451
2018,AZE,Azerbaijan,Bilateral,current,USD million,43.46303730000001
2018,BEN,Benin,Bilateral,current,USD million,52.4212561
2018,BFA,Burkina Faso,Bilateral,current,USD million,34.091010700000005
2018,BGD,Bangladesh,Bilateral,current,USD million,2972.3816324
2018,BIH,Bosnia and Herzegovina,Bilateral,current,USD million,27.516094
2018,BLR,Belarus,Bilateral,current,USD million,1705.8823066999998
2018,BLZ,Belize,Bilateral,current,USD million,23.1629347
2018,BOL,Bolivia,Bilateral,current,USD million,237.0922893
2018,BRA,Brazil,Bilateral,current,USD million,2119.0408174
2018,BTN,Bhutan,Bilateral,current,USD million,112.4125762
2018,CHN,China,Bilateral,current,USD million,591.1396245999999
2018,CIV,Cote d'Ivoire,Bilateral,current,USD million,392.6392254
2018,CMR,Cameroon,Bilateral,current,USD million,420.1295629
2018,COD,"Congo, Dem. Rep.",Bilateral,current,USD million,62.54899999999999
2018,COG,"Congo, Rep.",Bilateral,current,USD million,44.260425600000005
2018,COL,Colombia,Bilateral,current,USD million,1218.6704969
2018,CPV,Cabo Verde,Bilateral,current,USD million,7.1721412
2018,CRI,Costa Rica,Bilateral,current,USD million,0.2031758
2018,DJI,Djibouti,Bilateral,current,USD million,53.8502901
2018,DOM,Dominican Republic,Bilateral,current,USD million,4.8237353999999995
2018,ECU,Ecuador,Bilateral,current,USD million,986.7913753
2018,EGY,"Egypt, Arab Rep.",Bilateral,current,USD million,3609.6812678
2018,ERI,Eritrea,Bilateral,current,USD million,2.6633354999999996
2018,ETH,Ethiopia,Bilateral,current,USD million,390.11863420000003
2018,FJI,Fiji,Bilateral,current,USD million,0.817
2018,GAB,Gabon,Bilateral,current,USD million,175.02644990000002
2018,GEO,Georgia,Bilateral,current,USD million,74.25453329999999
2018,GHA,Ghana,Bilateral,current,USD million,78.8880795
2018,GIN,Guinea,Bilateral,current,USD million,39.9397839
2018,GMB,"Gambia, The",Bilateral,current,USD million,3.2681525000000002
2018,GRD,Grenada,Bilateral,current,USD million,0.4686659
2018,GUY,Guyana,Bilateral,current,USD million,48.6636997
2018,IDN,Indonesia,Bilateral,current,USD million,2172.4492691
2018,IND,India,Bilateral,current,USD million,1165.1526465
2018,IRQ,Iraq,Bilateral,current,USD million,1112.5871585999998
